image_path,label
correcta/correcta (1).jpeg,correct
correcta/correcta (1).jpg,correct
correcta/correcta (1).png,correct
correcta/correcta (10).jpeg,correct
correcta/correcta (10).jpg,correct
correcta/correcta (10).png,correct
correcta/correcta (100).jpeg,correct
correcta/correcta (100).jpg,correct
correcta/correcta (100).png,correct
correcta/correcta (1000).jpg,correct
correcta/correcta (1001).jpg,correct
correcta/correcta (1002).jpg,correct
correcta/correcta (1003).jpg,correct
correcta/correcta (1004).jpg,correct
correcta/correcta (1005).jpg,correct
correcta/correcta (1006).jpg,correct
correcta/correcta (1007).jpg,correct
correcta/correcta (1008).jpg,correct
correcta/correcta (1009).jpg,correct
correcta/correcta (101).jpeg,correct
correcta/correcta (101).jpg,correct
correcta/correcta (101).png,correct
correcta/correcta (1010).jpg,correct
correcta/correcta (1011).jpg,correct
correcta/correcta (1012).jpg,correct
correcta/correcta (1013).jpg,correct
correcta/correcta (1014).jpg,correct
correcta/correcta (1015).jpg,correct
correcta/correcta (1016).jpg,correct
correcta/correcta (1017).jpg,correct
correcta/correcta (1018).jpg,correct
correcta/correcta (1019).jpg,correct
correcta/correcta (102).jpeg,correct
correcta/correcta (102).jpg,correct
correcta/correcta (102).png,correct
correcta/correcta (1020).jpg,correct
correcta/correcta (1021).jpg,correct
correcta/correcta (1022).jpg,correct
correcta/correcta (1023).jpg,correct
correcta/correcta (1024).jpg,correct
correcta/correcta (1025).jpg,correct
correcta/correcta (1026).jpg,correct
correcta/correcta (1027).jpg,correct
correcta/correcta (1028).jpg,correct
correcta/correcta (1029).jpg,correct
correcta/correcta (103).jpeg,correct
correcta/correcta (103).jpg,correct
correcta/correcta (103).png,correct
correcta/correcta (1030).jpg,correct
correcta/correcta (1031).jpg,correct
correcta/correcta (1032).jpg,correct
correcta/correcta (1033).jpg,correct
correcta/correcta (1034).jpg,correct
correcta/correcta (1035).jpg,correct
correcta/correcta (1036).jpg,correct
correcta/correcta (1037).jpg,correct
correcta/correcta (1038).jpg,correct
correcta/correcta (1039).jpg,correct
correcta/correcta (104).jpeg,correct
correcta/correcta (104).jpg,correct
correcta/correcta (104).png,correct
correcta/correcta (1040).jpg,correct
correcta/correcta (1041).jpg,correct
correcta/correcta (1042).jpg,correct
correcta/correcta (1043).jpg,correct
correcta/correcta (1044).jpg,correct
correcta/correcta (1045).jpg,correct
correcta/correcta (1046).jpg,correct
correcta/correcta (1047).jpg,correct
correcta/correcta (1048).jpg,correct
correcta/correcta (1049).jpg,correct
correcta/correcta (105).jpeg,correct
correcta/correcta (105).jpg,correct
correcta/correcta (105).png,correct
correcta/correcta (1050).jpg,correct
correcta/correcta (1051).jpg,correct
correcta/correcta (1052).jpg,correct
correcta/correcta (1053).jpg,correct
correcta/correcta (1054).jpg,correct
correcta/correcta (1055).jpg,correct
correcta/correcta (1056).jpg,correct
correcta/correcta (1057).jpg,correct
correcta/correcta (1058).jpg,correct
correcta/correcta (1059).jpg,correct
correcta/correcta (106).jpeg,correct
correcta/correcta (106).jpg,correct
correcta/correcta (106).png,correct
correcta/correcta (1060).jpg,correct
correcta/correcta (1061).jpg,correct
correcta/correcta (1062).jpg,correct
correcta/correcta (1063).jpg,correct
correcta/correcta (1064).jpg,correct
correcta/correcta (1065).jpg,correct
correcta/correcta (1066).jpg,correct
correcta/correcta (1067).jpg,correct
correcta/correcta (1068).jpg,correct
correcta/correcta (1069).jpg,correct
correcta/correcta (107).jpeg,correct
correcta/correcta (107).jpg,correct
correcta/correcta (107).png,correct
correcta/correcta (1070).jpg,correct
correcta/correcta (1071).jpg,correct
correcta/correcta (1072).jpg,correct
correcta/correcta (1073).jpg,correct
correcta/correcta (1074).jpg,correct
correcta/correcta (1075).jpg,correct
correcta/correcta (1076).jpg,correct
correcta/correcta (1077).jpg,correct
correcta/correcta (1078).jpg,correct
correcta/correcta (1079).jpg,correct
correcta/correcta (108).jpeg,correct
correcta/correcta (108).jpg,correct
correcta/correcta (108).png,correct
correcta/correcta (1080).jpg,correct
correcta/correcta (1081).jpg,correct
correcta/correcta (1082).jpg,correct
correcta/correcta (1083).jpg,correct
correcta/correcta (1084).jpg,correct
correcta/correcta (1085).jpg,correct
correcta/correcta (1086).jpg,correct
correcta/correcta (1087).jpg,correct
correcta/correcta (1088).jpg,correct
correcta/correcta (1089).jpg,correct
correcta/correcta (109).jpeg,correct
correcta/correcta (109).jpg,correct
correcta/correcta (109).png,correct
correcta/correcta (1090).jpg,correct
correcta/correcta (1091).jpg,correct
correcta/correcta (1092).jpg,correct
correcta/correcta (1093).jpg,correct
correcta/correcta (1094).jpg,correct
correcta/correcta (1095).jpg,correct
correcta/correcta (1096).jpg,correct
correcta/correcta (1097).jpg,correct
correcta/correcta (1098).jpg,correct
correcta/correcta (1099).jpg,correct
correcta/correcta (11).jpeg,correct
correcta/correcta (11).jpg,correct
correcta/correcta (11).png,correct
correcta/correcta (110).jpeg,correct
correcta/correcta (110).jpg,correct
correcta/correcta (110).png,correct
correcta/correcta (1100).jpg,correct
correcta/correcta (1101).jpg,correct
correcta/correcta (1102).jpg,correct
correcta/correcta (1103).jpg,correct
correcta/correcta (1104).jpg,correct
correcta/correcta (1105).jpg,correct
correcta/correcta (1106).jpg,correct
correcta/correcta (1107).jpg,correct
correcta/correcta (1108).jpg,correct
correcta/correcta (1109).jpg,correct
correcta/correcta (111).jpeg,correct
correcta/correcta (111).jpg,correct
correcta/correcta (111).png,correct
correcta/correcta (1110).jpg,correct
correcta/correcta (1111).jpg,correct
correcta/correcta (1112).jpg,correct
correcta/correcta (1113).jpg,correct
correcta/correcta (1114).jpg,correct
correcta/correcta (1115).jpg,correct
correcta/correcta (1116).jpg,correct
correcta/correcta (1117).jpg,correct
correcta/correcta (1118).jpg,correct
correcta/correcta (1119).jpg,correct
correcta/correcta (112).jpeg,correct
correcta/correcta (112).jpg,correct
correcta/correcta (112).png,correct
correcta/correcta (1120).jpg,correct
correcta/correcta (1121).jpg,correct
correcta/correcta (1122).jpg,correct
correcta/correcta (1123).jpg,correct
correcta/correcta (1124).jpg,correct
correcta/correcta (1125).jpg,correct
correcta/correcta (1126).jpg,correct
correcta/correcta (1127).jpg,correct
correcta/correcta (1128).jpg,correct
correcta/correcta (1129).jpg,correct
correcta/correcta (113).jpeg,correct
correcta/correcta (113).jpg,correct
correcta/correcta (113).png,correct
correcta/correcta (1130).jpg,correct
correcta/correcta (1131).jpg,correct
correcta/correcta (1132).jpg,correct
correcta/correcta (1133).jpg,correct
correcta/correcta (1134).jpg,correct
correcta/correcta (1135).jpg,correct
